name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,category,enrollment,total_price,year,campus,net_cost,income_lvl,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
University of the Sciences,Pennsylvania,PA,Private,4 Year,15938,25000,40938,25000,40938,NA,NA,NA,43362,2008,On Campus,24439,"0 to 30,000",10,72300,143100,76,21
University of the Southwest,New Mexico,NM,Private,4 Year,8220,16000,24220,16000,24220,1009,Women,659,22964,2008,On Campus,11615,"0 to 30,000",8,51900,80000,NA,7
University of Toledo,Ohio,OH,Public,4 Year,11434,9795,21229,19133,30567,20626,Women,10295,21023,2008,On Campus,10022,"0 to 30,000",19,63700,105300,52,21
University of Tulsa,Oklahoma,OK,Private,4 Year,11116,41509,52625,41509,52625,4682,Women,1990,37530,2008,On Campus,18122,"0 to 30,000",1,72100,126000,51,36
University of Utah,Utah,UT,Public,4 Year,10262,9222,19484,29215,39477,31515,Women,14028,18433,2008,On Campus,10182,"0 to 30,000",2,68100,125900,57,23
University of Vermont,Vermont,VT,Public,4 Year,12462,18276,30738,42516,54978,12856,Women,7144,23570,2008,On Campus,4876,"0 to 30,000",2,65700,120400,52,25
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606,3989,Women,2801,13826,2008,On Campus,10305,"0 to 30,000",18,54100,87000,60,2
University of West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692,12206,Women,7878,14910,2008,On Campus,9086,"0 to 30,000",15,57500,98200,52,7
University of Wisconsin-Eau Claire,Wisconsin,WI,Public,4 Year,7813,8820,16633,17096,24909,NA,NA,NA,14509,2008,On Campus,4602,"0 to 30,000",7,63500,108900,49,12
University of Wisconsin-La Crosse,Wisconsin,WI,Public,4 Year,6331,9106,15437,17924,24255,NA,NA,NA,15143,2008,On Campus,6266,"0 to 30,000",11,61400,105600,52,18
University of Wisconsin-Madison,Wisconsin,WI,Public,4 Year,11114,10555,21669,36805,47919,NA,NA,NA,18973,2008,On Campus,6246,"0 to 30,000",4,72300,125900,47,30
University of Wisconsin-Milwaukee,Wisconsin,WI,Public,4 Year,10728,11084,21812,22364,33092,NA,NA,NA,17633,2008,On Campus,8578,"0 to 30,000",10,63000,106100,49,16
University of Wisconsin-Oshkosh,Wisconsin,WI,Public,4 Year,7448,8820,16268,16393,23841,NA,NA,NA,15457,2008,On Campus,6779,"0 to 30,000",19,59900,99800,48,7
University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,8026,7529,15555,15518,23544,4543,Women,2370,15838,2008,On Campus,7940,"0 to 30,000",20,58400,98500,45,14
University of Wisconsin-Platteville,Wisconsin,WI,Public,4 Year,7580,7571,15151,15421,23001,NA,NA,NA,14026,2008,On Campus,6225,"0 to 30,000",5,70900,117000,49,37
University of Wisconsin-River Falls,Wisconsin,WI,Public,4 Year,6513,7862,14375,15435,21948,NA,NA,NA,14106,2008,On Campus,6418,"0 to 30,000",24,58600,94900,54,13
University of Wisconsin-Stevens Point,Wisconsin,WI,Public,4 Year,7522,8088,15610,16355,23877,NA,NA,NA,14030,2008,On Campus,6474,"0 to 30,000",21,55500,97300,56,10
University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,6924,9457,16381,17423,24347,9394,Women,4626,15877,2008,On Campus,7530,"0 to 30,000",17,62900,102400,47,19
University of Wisconsin-Superior,Wisconsin,WI,Public,4 Year,6792,8126,14918,15699,22491,NA,NA,NA,13258,2008,On Campus,4657,"0 to 30,000",22,53500,96000,49,7
University of Wisconsin-Whitewater,Wisconsin,WI,Public,4 Year,6786,7692,14478,16265,23051,NA,NA,NA,13942,2008,On Campus,5506,"0 to 30,000",12,59700,105200,42,8
University of Wyoming,Wyoming,WY,Public,4 Year,10320,5400,15720,17490,27810,12820,Women,6661,15620,2008,On Campus,5868,"0 to 30,000",1,63700,109800,62,23
Upper Iowa University,Iowa,IA,Private,4 Year,8454,30450,38904,30450,38904,NA,NA,NA,30390,2008,On Campus,12418,"0 to 30,000",19,54700,92000,54,2
Ursinus College,Pennsylvania,PA,Private,4 Year,12750,52050,64800,52050,64800,NA,NA,NA,48310,2008,On Campus,15347,"0 to 30,000",13,64900,131400,62,52
Utah State University,Utah,UT,Public,4 Year,6400,7424,13824,21505,27905,NA,NA,NA,13785,2008,On Campus,7719,"0 to 30,000",3,64300,112300,62,13
Utah Valley University,Utah,UT,Public,4 Year,NA,5726,5726,16296,16296,NA,NA,NA,18810,2008,Off Campus,11408,"0 to 30,000",4,62900,112200,59,10
Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068,11563,Women,7081,18638,2008,On Campus,10727,"0 to 30,000",17,54500,96600,54,7
Valley City State University,North Dakota,ND,Public,4 Year,6446,7626,14072,17166,23612,1378,Women,817,15255,2008,On Campus,8240,"0 to 30,000",8,48500,79400,56,3
Valparaiso University,Indiana,IN,Private,4 Year,11860,40260,52120,40260,52120,4507,Women,2314,37410,2008,On Campus,13221,"0 to 30,000",10,65100,112400,51,26
Vanderbilt University,Tennessee,TN,Private,4 Year,16234,49816,66050,49816,66050,12686,Women,6793,52303,2008,On Campus,3099,"0 to 30,000",1,81700,148000,48,25
Vermont Technical College,Vermont,VT,Public,4 Year,10598,15108,25706,27780,38378,1542,Women,716,20143,2008,On Campus,11471,"0 to 30,000",5,66200,110500,46,4
Villanova University,Pennsylvania,PA,Private,4 Year,14020,53308,67328,53308,67328,10735,Women,5542,49470,2008,On Campus,14437,"0 to 30,000",11,81500,140400,42,24
Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428,14490,24918,35138,45566,30848,Women,17863,21869,2008,On Campus,13876,"0 to 30,000",17,61200,104800,51,19
Virginia Military Institute,Virginia,VA,Public,4 Year,9428,18862,28290,45706,55134,1700,Women,188,19675,2008,On Campus,5698,"0 to 30,000",3,78200,145300,65,50
Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,8934,13620,22554,31304,40238,NA,NA,NA,19538,2008,On Campus,9118,"0 to 30,000",5,77600,136000,47,42
Voorhees College,South Carolina,SC,Private,4 Year,7346,12630,19976,12630,19976,468,Women,253,16580,2008,On Campus,6039,"0 to 30,000",25,38600,74100,NA,13
Wabash College,Indiana,IN,Private,4 Year,10050,43450,53500,43450,53500,926,Women,0,37750,2008,On Campus,12429,"0 to 30,000",3,74200,140900,34,19
Wake Forest University,North Carolina,NC,Private,4 Year,16032,53322,69354,53322,69354,7788,Women,3992,49820,2008,On Campus,22459,"0 to 30,000",2,74100,145200,40,16
Walla Walla University,Washington,WA,Private,4 Year,4275,28035,32310,28035,32310,1887,Women,1020,30216,2008,On Campus,16765,"0 to 30,000",7,65400,126800,56,18
Walsh University,Ohio,OH,Private,4 Year,10680,29980,40660,29980,40660,2919,Women,1850,30552,2008,On Campus,11033,"0 to 30,000",21,57800,103100,57,11
Warner Pacific University,Oregon,OR,Private,4 Year,9630,18740,28370,18740,28370,NA,NA,NA,NA,NA,NA,NA,NA,20,57100,86600,69,4
Warren Wilson College,North Carolina,NC,Private,4 Year,10980,36280,47260,36280,47260,890,Women,553,33700,2008,On Campus,16002,"0 to 30,000",21,47200,90900,56,8
Wartburg College,Iowa,IA,Private,4 Year,9996,41280,51276,41280,51276,1661,Women,870,35615,2008,On Campus,13298,"0 to 30,000",12,59900,100900,47,27
Washburn University,Kansas,KS,Public,4 Year,8237,8870,17107,19940,28177,6722,Women,3957,18042,2008,On Campus,11990,"0 to 30,000",12,57400,95700,53,4
Washington & Jefferson College,Pennsylvania,PA,Private,4 Year,12676,47964,60640,47964,60640,NA,NA,NA,41684,2008,On Campus,18550,"0 to 30,000",24,60900,117500,40,30
Washington Adventist University,Maryland,MD,Private,4 Year,9370,23900,33270,23900,33270,NA,NA,NA,29317,2008,On Campus,12488,"0 to 30,000",14,64600,112400,69,3
Washington and Lee University,Virginia,VA,Private,4 Year,13925,52455,66380,52455,66380,NA,NA,NA,49268,2008,On Campus,2974,"0 to 30,000",1,77500,162500,40,17
Washington College,Maryland,MD,Private,4 Year,12414,46978,59392,46978,59392,NA,NA,NA,44935,2008,On Campus,16461,"0 to 30,000",18,60700,103400,47,24
Washington State University,Washington,WA,Public,4 Year,11398,11581,22979,26365,37763,28686,Women,14728,20524,2008,On Campus,7941,"0 to 30,000",9,69200,124000,49,22
Wayne State College,Nebraska,NE,Public,4 Year,7668,6989,14657,12299,19967,3470,Women,1990,12700,2008,On Campus,6458,"0 to 30,000",15,50100,86500,58,10
Wayne State University,Michigan,MI,Public,4 Year,10427,13347,23774,28241,38668,27578,Women,15409,17791,2008,On Campus,8835,"0 to 30,000",16,63200,103100,50,17
Webb Institute,New York,NY,Private,4 Year,15050,50175,65225,50175,65225,90,Women,12,11100,2008,On Campus,7019,"48_001 to 75,000",5,94500,160900,47,100
Webber International University,Florida,FL,Private,4 Year,9150,26116,35266,26116,35266,732,Women,245,28394,2008,On Campus,12530,"0 to 30,000",23,56200,100900,NA,2
Weber State University,Utah,UT,Public,4 Year,6279,5831,12110,16585,22864,25954,Women,13866,16102,2008,On Campus,8780,"0 to 30,000",6,66200,108100,60,12
Webster University,Missouri,MO,Private,4 Year,11050,27900,38950,27900,38950,16769,Women,9463,35234,2008,On Campus,20209,"0 to 30,000",14,58500,99600,49,3
Wellesley College,Massachusetts,MA,Private,4 Year,16468,53732,70200,53732,70200,2323,Women,2262,50026,2008,On Campus,3533,"0 to 30,000",14,76900,134100,47,35
Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,14190,33950,48140,33950,48140,4558,Women,886,35125,2008,On Campus,26697,"0 to 30,000",15,78100,134000,56,54
Wesley College,Delaware,DE,Private,4 Year,11717,26406,38123,26406,38123,NA,NA,NA,28830,2008,On Campus,21683,"0 to 30,000",5,58500,84400,56,4
Wesleyan University,Connecticut,CT,Private,4 Year,15060,54914,69974,54914,69974,NA,NA,NA,51935,2008,On Campus,11079,"0 to 30,000",2,77600,149200,42,20
West Liberty University,West Virginia,WV,Public,4 Year,9406,7730,17136,15670,25076,2694,Women,1622,15196,2008,On Campus,6973,"0 to 30,000",11,52900,89600,51,14
West Virginia State University,West Virginia,WV,Public,4 Year,11892,8167,20059,16072,27964,2884,Women,1596,14192,2008,On Campus,8553,"0 to 30,000",15,48700,86600,50,8
West Virginia University,West Virginia,WV,Public,4 Year,10918,8856,19774,24950,35868,29175,Women,14076,15422,2008,On Campus,8382,"0 to 30,000",2,65900,118200,54,22
West Virginia University at Parkersburg,West Virginia,WV,Public,2 Year,NA,6330,6330,10920,10920,2985,Women,1855,11912,2008,Off Campus,3766,"0 to 30,000",17,44700,71000,56,2
West Virginia University Institute of Technology,West Virginia,WV,Public,4 Year,11390,7464,18854,18648,30038,1261,Women,493,15708,2008,On Campus,5663,"0 to 30,000",1,66600,122400,48,39
West Virginia Wesleyan College,West Virginia,WV,Private,4 Year,8856,31640,40496,31640,40496,1511,Women,847,35350,2008,On Campus,13519,"0 to 30,000",4,54400,108600,53,18
Western Connecticut State University,Connecticut,CT,Public,4 Year,13072,10819,23891,22059,35131,5952,Women,3237,21015,2008,On Campus,14649,"0 to 30,000",16,63400,100500,48,8
Western Governors University,Utah,UT,Private,4 Year,NA,6670,6670,6670,6670,57821,Women,35024,7970,2008,Off Campus,7486,"0 to 30,000",7,67700,106600,58,12
Western Kentucky University,Kentucky,KY,Public,4 Year,8343,10602,18945,26496,34839,20171,Women,11710,15077,2008,On Campus,9401,"0 to 30,000",9,55600,95800,47,9
Western Michigan University,Michigan,MI,Public,4 Year,10143,12483,22626,15373,25516,23914,Women,12214,19381,2008,On Campus,10687,"0 to 30,000",12,63000,108800,51,16
Western New Mexico University,New Mexico,NM,Public,4 Year,9136,6824,15960,15231,24367,3557,Women,2220,15511,2008,On Campus,8211,"0 to 30,000",6,54300,88000,74,4
Western Oregon University,Oregon,OR,Public,4 Year,10415,9540,19955,26415,36830,6049,Women,3671,17988,2008,On Campus,12620,"0 to 30,000",18,56200,95200,54,7
Western Washington University,Washington,WA,Public,4 Year,11466,8132,19598,23544,35010,15060,Women,8368,17189,2008,On Campus,7294,"0 to 30,000",10,68100,123600,45,17
Westmont College,California,CA,Private,4 Year,14296,45304,59600,45304,59600,1300,Women,783,47786,2008,On Campus,21764,"0 to 30,000",24,65700,133600,55,17
Wheaton College,Illinois,IL,Private,4 Year,10180,36420,46600,36420,46600,NA,NA,NA,35900,2008,On Campus,13462,"0 to 30,000",5,65900,127200,53,13
Whitman College,Washington,WA,Private,4 Year,13174,51764,64938,51764,64938,1498,Women,843,46212,2008,On Campus,13262,"0 to 30,000",3,68400,135400,48,38
Whitworth University,Washington,WA,Private,4 Year,11496,43640,55136,43640,55136,2654,Women,1601,38604,2008,On Campus,14268,"0 to 30,000",17,61800,102700,55,16
Wichita State University,Kansas,KS,Public,4 Year,11252,8271,19523,17452,28704,14995,Women,7752,14475,2008,On Campus,11564,"0 to 30,000",9,59800,100500,63,22
Willamette University,Oregon,OR,Private,4 Year,12440,50074,62514,50074,62514,2780,Women,1496,43910,2008,On Campus,14465,"0 to 30,000",3,62700,127300,55,14
William Carey University,Mississippi,MS,Private,4 Year,6810,12600,19410,12600,19410,3936,Women,2636,23217,2008,On Campus,14392,"0 to 30,000",10,50900,77000,66,5
William Jewell College,Missouri,MO,Private,4 Year,9930,34400,44330,34400,44330,1060,Women,636,33630,2008,On Campus,14302,"0 to 30,000",5,59700,115400,71,13
William Paterson University of New Jersey,New Jersey,NJ,Public,4 Year,11445,13060,24505,21260,32705,11048,Women,6357,24082,2008,On Campus,12681,"0 to 30,000",20,60400,108600,43,9
Williams College,Massachusetts,MA,Private,4 Year,14500,55450,69950,55450,69950,2126,Women,1081,49530,2008,On Campus,1679,"0 to 30,000",4,81900,169200,38,36
Wilmington University,Delaware,DE,Private,4 Year,NA,11210,11210,11210,11210,NA,NA,NA,19960,2008,Off Campus,16640,"0 to 30,000",4,58500,87200,50,13
Wingate University,North Carolina,NC,Private,4 Year,10780,33166,43946,33166,43946,3034,Women,1800,29350,2008,On Campus,7035,"0 to 30,000",19,51100,91700,52,11
Winona State University,Minnesota,MN,Public,4 Year,9010,9425,18435,15348,24358,8684,Women,5431,17986,2008,On Campus,9685,"0 to 30,000",20,62500,101600,50,12
Winthrop University,South Carolina,SC,Public,4 Year,9312,15590,24902,29846,39158,6024,Women,4138,21188,2008,On Campus,10700,"0 to 30,000",11,54200,93900,54,10
Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,10190,29725,39915,29725,39915,1179,Women,654,30120,2008,On Campus,9698,"0 to 30,000",25,61800,93700,55,12
Wittenberg University,Ohio,OH,Private,4 Year,10356,39500,49856,39500,49856,1964,Women,1118,44550,2008,On Campus,18727,"0 to 30,000",3,60900,136200,62,17
Wofford College,South Carolina,SC,Private,4 Year,12685,43845,56530,43845,56530,1658,Women,852,40835,2008,On Campus,32858,"0 to 30,000",2,63700,129400,48,30
Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,14774,50530,65304,50530,65304,6381,Women,1989,49470,2008,On Campus,22413,"0 to 30,000",5,89100,161000,51,86
Xavier University,Ohio,OH,Private,4 Year,12780,38530,51310,38530,51310,NA,NA,NA,39130,2008,On Campus,15843,"0 to 30,000",14,64400,112900,45,5
Xavier University of Louisiana,Louisiana,LA,Private,4 Year,9047,24488,33535,24488,33535,2976,Women,2159,25226,2008,On Campus,15382,"0 to 30,000",12,54200,102200,63,33
Yale University,Connecticut,CT,Private,4 Year,16000,53430,69430,53430,69430,12336,Women,6041,51400,2008,On Campus,6516,"0 to 30,000",1,89700,168300,51,27
Yeshiva University,New York,NY,Private,4 Year,12250,43500,55750,43500,55750,6348,Women,3283,44199,2008,On Campus,16668,"0 to 30,000",16,77800,145600,31,9
Youngstown State University,Ohio,OH,Public,4 Year,9400,8950,18350,14950,24350,12503,Women,6693,19247,2008,On Campus,9761,"0 to 30,000",23,59700,102300,52,20
