name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,category,enrollment,total_price,year,campus,net_cost,income_lvl,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Tabor College,Kansas,KS,Private,4 Year,9850,28245,38095,28245,38095,766,Women,379,30981,2008,On Campus,17855,"0 to 30,000",19,51400,86500,63,9
Talladega College,Alabama,AL,Private,4 Year,6704,12510,19214,12510,19214,879,Women,382,16299,2008,On Campus,13582,"0 to 30,000",25,43000,79900,NA,21
Taylor University,Indiana,IN,Private,4 Year,9614,34114,43728,34114,43728,2146,Women,1211,33498,2008,On Campus,14847,"0 to 30,000",5,60800,121500,52,21
Tennessee State University,Tennessee,TN,Public,4 Year,7806,8008,15814,21364,29170,9027,Women,5509,14622,2008,On Campus,7636,"0 to 30,000",21,58400,88200,66,14
Tennessee Technological University,Tennessee,TN,Public,4 Year,9736,9103,18839,25759,35495,11339,Women,5052,17051,2008,On Campus,5572,"0 to 30,000",6,66300,109400,51,26
Texas A&M University-Kingsville,Texas,TX,Public,4 Year,8760,8462,17222,20912,29672,NA,NA,NA,NA,NA,NA,NA,NA,12,64200,118500,61,35
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754,10033,Women,5940,38928,2008,On Campus,16473,"0 to 30,000",11,68500,119600,53,10
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025,35158,Women,16152,17405,2008,On Campus,8705,"0 to 30,000",7,68400,125200,54,25
The College of New Jersey,New Jersey,NJ,Public,4 Year,13617,16551,30168,28266,41883,NA,NA,NA,25420,2008,On Campus,5018,"0 to 30,000",7,73400,122400,46,18
The King's University,Texas,TX,Private,4 Year,NA,15000,15000,15000,15000,NA,NA,NA,24318,2008,Off Campus,14661,"0 to 30,000",2,72000,147200,45,0
Thomas College,Maine,ME,Private,4 Year,11250,26900,38150,26900,38150,NA,NA,NA,30720,2008,On Campus,15218,"0 to 30,000",10,56600,90500,59,8
Thomas Edison State University,New Jersey,NJ,Public,4 Year,NA,7519,7519,9967,9967,21495,Women,10430,14670,2017,Off Campus,0,"0 to 30,000",17,64200,110800,58,1
Thomas More College of Liberal Arts,New Hampshire,NH,Private,4 Year,9700,21600,31300,21600,31300,93,Women,53,23600,2008,On Campus,8281,"30,001 to 48,000",4,61800,110300,NA,0
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433,900,Women,588,20247,2008,On Campus,10240,"0 to 30,000",9,44600,77200,NA,23
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242,22285,Women,13813,20384,2008,On Campus,5707,"0 to 30,000",15,62700,111700,50,18
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210,1014,Women,592,33610,2008,On Campus,11982,"0 to 30,000",7,58200,99900,54,24
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998,2606,Women,1569,26725,2008,On Campus,14988,"0 to 30,000",11,56300,96500,64,4
Trine University,Indiana,IN,Private,4 Year,10810,32175,42985,32175,42985,2831,Women,1193,36150,2008,On Campus,17905,"0 to 30,000",12,66900,108800,52,33
Trinity College,Connecticut,CT,Private,4 Year,14750,56910,71660,56910,71660,NA,NA,NA,50645,2008,On Campus,6726,"0 to 30,000",5,74100,141600,52,22
Trinity University,Texas,TX,Private,4 Year,13464,42976,56440,42976,56440,2432,Women,1292,38521,2008,On Campus,15618,"0 to 30,000",6,65200,130600,46,26
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060,19041,Women,11948,14060,2008,On Campus,8380,"0 to 30,000",14,55000,92000,59,7
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361,6248,Women,3753,17782,2008,On Campus,6783,"0 to 30,000",8,59400,106800,43,17
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942,10907,Women,5941,51400,2008,On Campus,9168,"0 to 30,000",8,80500,144400,46,28
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820,3103,Women,1855,27630,2008,On Campus,25035,"0 to 30,000",7,67700,101600,65,32
Union University,Tennessee,TN,Private,4 Year,10200,32890,43090,32890,43090,NA,NA,NA,29510,2008,On Campus,13436,"0 to 30,000",16,57700,94900,58,6
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030,18698,Women,11288,18238,2008,On Campus,9491,"0 to 30,000",8,59400,101100,56,20
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456,NA,NA,NA,16876,2008,On Campus,7864,"0 to 30,000",1,71000,127000,57,44
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058,NA,NA,NA,16080,2008,On Campus,7830,"0 to 30,000",1,68600,117300,58,9
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187,NA,NA,NA,15281,2008,On Campus,9572,"0 to 30,000",2,70000,115700,54,17
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936,42236,Women,21891,18290,2008,On Campus,7003,"0 to 30,000",2,68300,119300,51,24
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188,NA,NA,NA,18462,2008,On Campus,9533,"0 to 30,000",1,65200,114800,52,19
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136,11645,Women,6932,21281,2008,On Campus,13112,"0 to 30,000",7,57900,95500,56,14
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370,3854,Women,2302,12855,2008,On Campus,7254,"0 to 30,000",6,54400,95800,64,2
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975,2513,Women,1359,15576,2008,On Campus,9423,"0 to 30,000",16,52400,80800,58,17
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,NA,8197,8197,15973,15973,2890,Women,1882,NA,NA,NA,NA,NA,12,62800,91200,92,3
University of Baltimore,Maryland,MD,Public,4 Year,NA,8958,8958,21076,21076,6422,Women,3748,26781,2008,Off Campus,8099,"0 to 30,000",20,63300,100400,57,4
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710,5191,Women,3165,41467,2008,On Campus,22334,"0 to 30,000",13,60100,109100,53,9
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128,11698,Women,7146,17705,2008,On Campus,10943,"0 to 30,000",5,55000,96400,53,9
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084,60767,Women,33482,17521,2008,On Campus,6808,"0 to 30,000",19,61600,105500,51,19
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208,13379,Women,7149,16105,2008,On Campus,8732,"0 to 30,000",17,58500,97100,55,21
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346,16840,Women,9947,16491,2008,On Campus,11379,"0 to 30,000",10,56000,97000,59,12
University of Charleston,West Virginia,WV,Private,4 Year,9180,30900,40080,30900,40080,2111,Women,1159,33425,2008,On Campus,26329,"0 to 30,000",9,55200,94700,55,3
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580,15097,Women,6341,53310,2008,On Campus,6788,"0 to 30,000",1,81600,150600,35,31
University of Colorado Boulder,Colorado,CO,Public,4 Year,14418,12532,26950,37286,51704,NA,NA,NA,23261,2008,On Campus,10119,"0 to 30,000",3,71500,136500,48,39
University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500,10463,20963,24893,35393,NA,NA,NA,19201,2008,On Campus,7037,"0 to 30,000",9,63700,109600,56,23
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972,26541,Women,13359,22382,2008,On Campus,6309,"0 to 30,000",6,73800,126000,46,27
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052,2548,Women,1195,37955,2008,On Campus,17730,"0 to 30,000",8,64900,124300,52,21
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480,11343,Women,5411,38210,2008,On Campus,14678,"0 to 30,000",6,70400,127300,44,32
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172,22680,Women,12757,19424,2008,On Campus,10143,"0 to 30,000",1,71600,127600,46,24
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561,11809,Women,6649,47617,2008,On Campus,23277,"0 to 30,000",4,69100,129700,46,13
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496,4945,Women,2951,41246,2008,On Campus,16899,"0 to 30,000",14,63900,107000,58,24
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040,2121,Women,931,28080,2008,On Campus,10285,"0 to 30,000",20,54800,90400,52,9
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876,2567,Women,1446,36875,2008,On Campus,11984,"0 to 30,000",13,60100,108400,50,20
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778,49459,Women,26820,15248,2008,On Campus,3188,"0 to 30,000",3,68300,123700,52,31
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442,35197,Women,20276,16758,2008,On Campus,9301,"0 to 30,000",3,68400,124800,43,16
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170,6817,Women,3500,41258,2008,On Campus,36589,"0 to 30,000",8,67000,123300,53,12
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086,3924,Women,2378,14254,2008,On Campus,5982,"0 to 30,000",6,53900,83700,63,12
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691,NA,NA,NA,16828,2008,On Campus,7343,"0 to 30,000",2,63900,110800,59,19
University of Holy Cross,Louisiana,LA,Private,4 Year,NA,17300,17300,17300,17300,NA,NA,NA,32297,2018,On Campus,14085.10308,"0 to 30,000",17,56700,97100,57,10
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226,40914,Women,20184,19017,2008,On Campus,7401,"0 to 30,000",9,68700,123300,49,24
University of Houston-Clear Lake,Texas,TX,Public,4 Year,NA,8500,8500,24731,24731,8665,Women,5385,23084,2014,On Campus,6704,"0 to 30,000",19,60900,113800,47,19
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380,11702,Women,5482,17370,2008,On Campus,9323,"0 to 30,000",1,63700,118800,55,23
University of Indianapolis,Indiana,IN,Private,4 Year,10288,29688,39976,29688,39976,5442,Women,3661,31400,2008,On Campus,11875,"0 to 30,000",21,59500,97000,58,5
University of Iowa,Iowa,IA,Public,4 Year,11172,9267,20439,31233,42405,29970,Women,15461,18687,2008,On Campus,8151,"0 to 30,000",3,66300,119800,49,15
University of Jamestown,North Dakota,ND,Private,4 Year,7570,21976,29546,21976,29546,970,Women,528,23685,2008,On Campus,11072,"0 to 30,000",3,57700,102800,69,9
University of Kansas,Kansas,KS,Public,4 Year,10350,11148,21498,27358,37708,27180,Women,13950,18446,2008,On Campus,12826,"0 to 30,000",1,64900,118100,52,17
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081,29203,Women,15420,19488,2008,On Campus,7540,"0 to 30,000",1,63200,111700,48,19
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860,17195,Women,9601,11944,2008,On Campus,2101,"0 to 30,000",8,58600,106700,53,19
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684,8517,Women,5446,13256,2008,On Campus,7718,"0 to 30,000",5,59100,108700,65,8
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504,21561,Women,11118,17772,2008,On Campus,4843,"0 to 30,000",6,61100,100700,52,20
University of Lynchburg,Virginia,VA,Private,4 Year,10800,39530,50330,39530,50330,NA,NA,NA,NA,NA,NA,NA,NA,14,57800,106700,45,8
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388,11286,Women,5754,20308,2008,On Campus,10322,"0 to 30,000",5,65800,110400,50,21
University of Maine at Augusta,Maine,ME,Public,4 Year,NA,7988,7988,17918,17918,4664,Women,3365,16307,2008,Off Campus,8380,"0 to 30,000",12,52800,83600,59,14
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504,1960,Women,1311,18514,2008,On Campus,11357,"0 to 30,000",14,52700,81300,60,10
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535,1327,Women,911,16853,2008,On Campus,11929,"0 to 30,000",13,58600,82700,72,4
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641,1138,Women,731,15956,2008,On Campus,7064,"0 to 30,000",11,49300,84000,64,5
University of Mary,North Dakota,ND,Private,4 Year,6890,18720,25610,18720,25610,2809,Women,1837,19910,2008,On Campus,9349,"0 to 30,000",6,58300,91200,69,7
University of Mary Washington,Virginia,VA,Public,4 Year,11118,12188,23306,27434,38552,NA,NA,NA,17600,2008,On Campus,8236,"0 to 30,000",10,65000,117500,52,18
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388,21059,Women,12572,18455,2008,On Campus,4880,"0 to 30,000",10,59300,97300,55,11
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334,16674,Women,8521,49950,2008,On Campus,17402,"0 to 30,000",5,70200,120000,48,22
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310,22503,Women,12625,18438,2008,On Campus,11509,"0 to 30,000",3,59900,102800,53,13
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,1600,Women,1062,26345,2008,On Campus,14212,"0 to 30,000",22,49900,85500,74,4
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,3070,Women,2068,15384,2008,On Campus,8333,"0 to 30,000",21,47700,86200,51,6
University of Nebraska Medical Center,Nebraska,NE,Public,4 Year,NA,11558,11558,28898,28898,3696,Women,2372,NA,NA,NA,NA,NA,9,67500,98300,80,7
