rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
23,Bennett College,North-Carolina,51000,90700,NA,22
24,Meredith College,North-Carolina,54900,89400,48,14
25,University of North Carolina at Greensboro,North-Carolina,53900,89100,51,12
1,North Dakota State University-Main Campus,North-Dakota,66600,117100,59,26
2,University of North Dakota,North-Dakota,65800,114700,48,17
3,University of Jamestown,North-Dakota,57700,102800,69,9
4,Mayville State University,North-Dakota,53300,97400,55,6
5,Dickinson State University,North-Dakota,59200,96800,59,8
6,University of Mary,North-Dakota,58300,91200,69,7
7,Minot State University,North-Dakota,55400,84600,63,4
8,Valley City State University,North-Dakota,48500,79400,56,3
9,Trinity Bible College and Graduate School,North-Dakota,44500,72200,NA,0
1,Case Western Reserve University,Ohio,81600,142300,48,37
2,Denison University,Ohio,65300,140800,46,20
3,Wittenberg University,Ohio,60900,136200,62,17
4,Miami University-Oxford,Ohio,69100,132800,46,21
5,Kenyon College,Ohio,66700,132500,57,22
6,University of Dayton,Ohio,70400,127300,44,32
7,Ohio Northern University,Ohio,69700,124100,49,21
8,The College of Wooster,Ohio,58600,120700,60,32
9,Ohio Wesleyan University,Ohio,59400,120000,48,22
10,John Carroll University,Ohio,61200,119700,42,15
11,Ohio State University-Main Campus,Ohio,69100,116900,49,27
12,Oberlin College,Ohio,67000,116100,48,27
13,University of Cincinnati-Main Campus,Ohio,65900,113600,51,22
14,Xavier University,Ohio,64400,112900,45,5
15,Ohio University-Main Campus,Ohio,63100,112200,48,11
16,Franciscan University of Steubenville,Ohio,59800,106300,55,7
17,Ohio State University-Mansfield Campus,Ohio,51500,106200,NA,0
18,Bowling Green State University-Main Campus,Ohio,57800,106000,48,10
19,University of Toledo,Ohio,63700,105300,52,21
20,University of Akron Main Campus,Ohio,63200,105100,46,25
21,Walsh University,Ohio,57800,103100,57,11
22,Wright State University-Main Campus,Ohio,62000,102900,48,29
23,Youngstown State University,Ohio,59700,102300,52,20
23,Cedarville University,Ohio,64500,102300,51,16
25,Marietta College,Ohio,58600,102200,54,30
1,University of Tulsa,Oklahoma,72100,126000,51,36
2,Oklahoma State University-Main Campus,Oklahoma,63900,117200,56,24
3,University of Oklahoma-Norman Campus,Oklahoma,66400,116700,52,22
4,Southwestern Oklahoma State University,Oklahoma,57900,110300,65,5
5,University of Oklahoma-Health Sciences Center,Oklahoma,67900,108700,NA,3
6,Oklahoma Christian University,Oklahoma,60600,103300,56,31
7,Oral Roberts University,Oklahoma,57200,101900,62,10
8,Cameron University,Oklahoma,52500,100800,51,14
9,Langston University,Oklahoma,55500,97900,72,6
10,University of Central Oklahoma,Oklahoma,56000,97000,59,12
10,Oklahoma City University,Oklahoma,61600,97000,64,4
12,Southern Nazarene University,Oklahoma,57100,95400,61,5
13,Southeastern Oklahoma State University,Oklahoma,54700,94900,56,7
14,Northeastern State University,Oklahoma,55400,93600,59,8
15,Oklahoma Wesleyan University,Oklahoma,53700,93100,59,4
16,Northwestern Oklahoma State University,Oklahoma,52000,90400,59,12
17,Oklahoma Baptist University,Oklahoma,52600,89400,67,11
18,Oklahoma Panhandle State University,Oklahoma,51800,89000,65,9
19,East Central University,Oklahoma,53300,87600,71,13
20,Rogers State University,Oklahoma,52300,86900,44,10
21,University of Science and Arts of Oklahoma,Oklahoma,48100,85400,51,12
22,Mid-America Christian University,Oklahoma,49400,81300,65,0
1,Reed College,Oregon,70300,138400,40,34
2,University of Portland,Oregon,73100,128400,48,30
3,Willamette University,Oregon,62700,127300,55,14
4,Oregon State University,Oregon,70000,124000,52,35
5,Oregon Institute of Technology,Oregon,76200,121300,59,29
6,University of Oregon,Oregon,63500,119500,46,13
7,Oregon Health & Science University,Oregon,82100,117600,77,8
7,Pacific University,Oregon,58100,117600,69,8
9,Lewis & Clark College,Oregon,62400,115600,59,10
10,Linfield University-McMinnville Campus,Oregon,63400,115100,52,15
11,Linfield University-Online and Continuing Education,Oregon,61700,109100,50,3
12,Portland State University,Oregon,63200,109000,48,18
13,George Fox University,Oregon,63800,104100,51,12
14,Pacific Northwest College of Art,Oregon,57600,103800,NA,0
15,Bushnell University,Oregon,58300,103600,NA,7
16,Corban University,Oregon,53700,100600,63,4
17,Southern Oregon University,Oregon,57300,100000,54,6
18,Western Oregon University,Oregon,56200,95200,54,7
19,Multnomah University,Oregon,48600,93100,72,2
20,Warner Pacific University,Oregon,57100,86600,69,4
21,Eastern Oregon University,Oregon,55400,82800,51,5
1,University of Pennsylvania,Pennsylvania,89100,171800,37,25
2,Lehigh University,Pennsylvania,85800,168200,41,45
3,Carnegie Mellon University,Pennsylvania,96700,162100,41,68
4,Lafayette College,Pennsylvania,82700,158700,39,50
5,Bucknell University,Pennsylvania,82400,155500,43,35
6,Swarthmore College,Pennsylvania,79700,154900,44,41
7,Haverford College,Pennsylvania,73200,146900,51,41
8,Gettysburg College,Pennsylvania,72000,145200,47,25
9,Franklin and Marshall College,Pennsylvania,70600,144300,40,25
10,University of the Sciences,Pennsylvania,72300,143100,76,21
11,Villanova University,Pennsylvania,81500,140400,42,24
12,Drexel University,Pennsylvania,76100,132600,48,27
13,Ursinus College,Pennsylvania,64900,131400,62,52
14,Susquehanna University,Pennsylvania,62400,130600,38,22
15,Juniata College,Pennsylvania,61100,128300,47,36
16,Saint Joseph's University,Pennsylvania,69300,124600,39,6
17,The Pennsylvania State University,Pennsylvania,71700,123500,47,32
18,Grove City College,Pennsylvania,67600,121200,49,27
18,La Salle University,Pennsylvania,65600,121200,46,6
18,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,71800,121200,48,30
21,Muhlenberg College,Pennsylvania,65400,120900,49,18
22,Allegheny College,Pennsylvania,60100,119000,45,31
23,Bryn Mawr College,Pennsylvania,69700,118000,41,25
24,Washington & Jefferson College,Pennsylvania,60900,117500,40,30
25,University of Scranton,Pennsylvania,65700,117300,42,13
1,Brown University,Rhode-Island,85200,155000,43,42
2,Providence College,Rhode-Island,71900,135100,48,11
3,Bryant University,Rhode-Island,73800,128000,39,5
4,Rhode Island School of Design,Rhode-Island,71600,122100,39,12
5,University of Rhode Island,Rhode-Island,67000,120800,52,20
6,Salve Regina University,Rhode-Island,66000,114700,40,5
7,New England Institute of Technology,Rhode-Island,65800,113800,47,13
8,Roger Williams University,Rhode-Island,66300,111700,44,13
9,Rhode Island College,Rhode-Island,59200,96400,53,6
10,Johnson & Wales University-Providence,Rhode-Island,57700,93100,43,6
11,Johnson & Wales University-Online,Rhode-Island,54900,89300,44,0
1,Citadel Military College of South Carolina,South-Carolina,72100,132300,66,22
2,Wofford College,South-Carolina,63700,129400,48,30
3,Clemson University,South-Carolina,70500,125200,49,35
4,Furman University,South-Carolina,63100,121000,44,16
5,University of South Carolina-Columbia,South-Carolina,63200,104900,49,19
6,Medical University of South Carolina,South-Carolina,71700,104400,86,3
7,College of Charleston,South-Carolina,60400,102700,44,17
8,Bob Jones University,South-Carolina,58700,102200,62,6
9,Presbyterian College,South-Carolina,59100,100200,51,25
10,South Carolina State University,South-Carolina,53300,98000,67,15
11,Winthrop University,South-Carolina,54200,93900,54,10
11,University of South Carolina-Upstate,South-Carolina,56700,93900,45,14
13,Francis Marion University,South-Carolina,54900,93500,56,13
14,Newberry College,South-Carolina,51300,91400,54,11
15,University of South Carolina Aiken,South-Carolina,51500,90800,55,14
16,Coastal Carolina University,South-Carolina,55100,89800,49,14
17,Charleston Southern University,South-Carolina,51800,89400,61,11
18,Southern Wesleyan University,South-Carolina,53300,87600,61,7
19,Lander University,South-Carolina,50400,86100,55,11
20,Limestone University,South-Carolina,50900,86000,63,15
21,Erskine College,South-Carolina,55100,83900,57,20
22,Anderson University (South Carolina),South-Carolina,50700,78600,50,4
23,Columbia College (South Carolina),South-Carolina,50700,75400,57,5
24,Converse University,South-Carolina,50000,75300,51,9
25,Voorhees College,South-Carolina,38600,74100,NA,13
1,South Dakota School of Mines and Technology,South-Dakota,79800,131500,61,94
2,Augustana University,South-Dakota,57600,109800,52,17
3,University of South Dakota,South-Dakota,57200,105200,57,8
4,South Dakota State University,South-Dakota,62500,104000,55,19
5,Dakota State University,South-Dakota,62200,103800,46,74
6,University of Sioux Falls,South-Dakota,55500,93600,65,4
7,Dakota Wesleyan University,South-Dakota,55000,92600,NA,5
8,Mount Marty University,South-Dakota,54300,91500,47,1
9,Northern State University,South-Dakota,52500,88300,54,8
10,Black Hills State University,South-Dakota,50500,78800,66,10
1,Vanderbilt University,Tennessee,81700,148000,48,25
2,Rhodes College,Tennessee,61700,128200,46,32
3,The University of the South,Tennessee,64900,122900,60,16
4,Christian Brothers University,Tennessee,62000,115700,60,32
5,The University of Tennessee-Knoxville,Tennessee,62900,110500,55,21
6,Tennessee Technological University,Tennessee,66300,109400,51,26
7,The University of Tennessee-Chattanooga,Tennessee,56800,100800,56,18
8,Lipscomb University,Tennessee,60400,98000,55,13
9,Cumberland University,Tennessee,55900,97900,54,6
10,University of Memphis,Tennessee,59300,97300,55,11
11,Trevecca Nazarene University,Tennessee,56300,96500,64,4
12,Baptist Health Sciences University,Tennessee,66900,96200,73,3
13,Freed-Hardeman University,Tennessee,54200,96000,56,7
13,Belmont University,Tennessee,58400,96000,46,4
15,Middle Tennessee State University,Tennessee,58000,95700,52,12
16,Union University,Tennessee,57700,94900,58,6
17,Fisk University,Tennessee,55000,92400,62,37
18,Austin Peay State University,Tennessee,54500,91300,60,8
19,Southern Adventist University,Tennessee,57200,89500,69,12
20,East Tennessee State University,Tennessee,52700,88400,57,8
21,Tennessee State University,Tennessee,58400,88200,66,14
22,Tusculum University,Tennessee,49400,86900,64,3
23,Milligan University,Tennessee,51500,86700,78,10
24,Maryville College,Tennessee,53200,84900,71,17
25,Carson-Newman University,Tennessee,52000,84500,59,5
1,Rice University,Texas,88000,152100,57,45
2,The King's University,Texas,72000,147200,45,0
3,Texas A&M University-College Station,Texas,72600,139700,52,31
4,Southern Methodist University,Texas,73900,139000,48,24
5,The University of Texas at Austin,Texas,75000,137000,50,29
6,Trinity University,Texas,65200,130600,46,26
7,Texas Tech University,Texas,68400,125200,54,25
8,University of Dallas,Texas,64900,124300,52,21
9,Baylor University,Texas,67400,123300,50,14
9,University of Houston,Texas,68700,123300,49,24
11,Texas Christian University,Texas,68500,119600,53,10
12,Texas A&M University-Kingsville,Texas,64200,118500,61,35
13,LeTourneau University,Texas,73300,117900,51,27
14,The University of Texas at Arlington,Texas,68200,117700,55,20
15,The University of Texas at Dallas,Texas,72000,117400,46,47
16,Prairie View A&M University,Texas,70700,115800,65,24
17,Saint Edward's University,Texas,62100,115500,43,12
18,Lamar University,Texas,65800,113900,59,9
19,University of Houston-Clear Lake,Texas,60900,113800,47,19
20,The University of Texas Health Science Center at Houston,Texas,80900,113000,86,14
21,The University of Texas Medical Branch at Galveston,Texas,72000,112700,86,4
21,St. Mary's University,Texas,64500,112700,62,19
23,McMurry University,Texas,62500,112300,63,12
24,Southwestern University,Texas,62300,111600,47,21
25,Abilene Christian University,Texas,61500,110800,49,7
1,Brigham Young University,Utah,71700,133900,59,30
2,University of Utah,Utah,68100,125900,57,23
3,Utah State University,Utah,64300,112300,62,13
4,Utah Valley University,Utah,62900,112200,59,10
5,Westminster College (Utah),Utah,61800,109100,55,11
6,Weber State University,Utah,66200,108100,60,12
7,Western Governors University,Utah,67700,106600,58,12
8,Southern Utah University,Utah,56100,101900,64,7
9,Dixie State University,Utah,57100,91700,55,6
1,Middlebury College,Vermont,74800,139500,46,24
2,University of Vermont,Vermont,65700,120400,52,25
3,Norwich University,Vermont,69000,117600,53,23
4,Saint Michael's College,Vermont,61600,117200,48,21
5,Vermont Technical College,Vermont,66200,110500,46,4
6,Bennington College,Vermont,57500,109700,46,4
7,Champlain College,Vermont,63900,106800,47,26
8,Goddard College,Vermont,58200,95400,NA,0
9,Castleton University,Vermont,51200,85100,51,8
10,Northern Vermont University,Vermont,47700,82600,46,6
1,Washington and Lee University,Virginia,77500,162500,40,17
2,University of Virginia-Main Campus,Virginia,79500,149100,44,25
3,Virginia Military Institute,Virginia,78200,145300,65,50
4,Hampden-Sydney College,Virginia,71300,138500,45,25
5,Virginia Polytechnic Institute and State University,Virginia,77600,136000,47,42
6,William & Mary,Virginia,72000,134200,42,19
7,University of Richmond,Virginia,72600,129800,48,15
8,George Mason University,Virginia,72300,128200,48,23
9,James Madison University,Virginia,70000,125700,44,14
10,University of Mary Washington,Virginia,65000,117500,52,18
11,Bon Secours Memorial College of Nursing,Virginia,68400,108600,NA,0
11,Randolph College,Virginia,59400,108600,49,23
13,Hampton University,Virginia,63900,108400,57,15
14,University of Lynchburg,Virginia,57800,106700,45,8
15,Marymount University,Virginia,64100,106600,51,20
16,Old Dominion University,Virginia,61800,105400,55,21
17,Virginia Commonwealth University,Virginia,61200,104800,51,19
18,Bridgewater College,Virginia,51900,103900,46,13
19,Christopher Newport University,Virginia,64100,103800,57,31
20,Ferrum College,Virginia,48300,103200,44,7
21,Longwood University,Virginia,57500,101800,53,6
22,Sweet Briar College,Virginia,53700,98900,53,18
23,Randolph-Macon College,Virginia,56700,98700,45,27
24,Roanoke College,Virginia,60100,97700,52,15
25,Radford University,Virginia,60100,97400,51,9
1,Seattle University,Washington,75500,139600,58,19
2,University of Washington-Seattle Campus,Washington,77100,136800,51,37
3,Whitman College,Washington,68400,135400,48,38
4,University of Puget Sound,Washington,67500,134000,45,18
5,Gonzaga University,Washington,72800,133500,48,19
6,University of Washington-Bothell Campus,Washington,75900,132900,55,34
7,Walla Walla University,Washington,65400,126800,56,18
8,Seattle Pacific University,Washington,66600,126100,54,12
9,Washington State University,Washington,69200,124000,49,22
10,Western Washington University,Washington,68100,123600,45,17
11,Pacific Lutheran University,Washington,66300,120600,53,16
12,Central Washington University,Washington,65200,114200,49,13
13,City University of Seattle,Washington,61800,112200,55,10
14,Cornish College of the Arts,Washington,63300,110900,41,0
15,University of Washington-Tacoma Campus,Washington,69700,107900,49,32
16,Saint Martin's University,Washington,66800,107000,54,50
17,Whitworth University,Washington,61800,102700,55,16
18,Eastern Washington University,Washington,62600,102100,51,16
19,Northwest University,Washington,64900,100400,62,2
20,Seattle Central College,Washington,64900,100000,NA,18
21,Whitworth University-Adult Degree Programs,Washington,64000,97800,NA,0
22,The Evergreen State College,Washington,58400,96700,47,0
23,Bellevue College,Washington,65200,94100,53,11
24,Bastyr University,Washington,58700,89100,64,0
25,Heritage University,Washington,51800,79900,NA,15
1,West Virginia University Institute of Technology,West-Virginia,66600,122400,48,39
2,West Virginia University,West-Virginia,65900,118200,54,22
3,Shepherd University,West-Virginia,59400,112900,55,16
4,West Virginia Wesleyan College,West-Virginia,54400,108600,53,18
5,Bethany College (West Virginia),West-Virginia,56300,106500,63,14
6,Concord University,West-Virginia,55600,96100,51,11
7,Wheeling University,West-Virginia,55300,95700,45,1
8,Alderson Broaddus University,West-Virginia,58200,95600,60,10
9,University of Charleston,West-Virginia,55200,94700,55,3
10,Marshall University,West-Virginia,54900,93000,54,11
11,West Liberty University,West-Virginia,52900,89600,51,14
11,Fairmont State University,West-Virginia,51600,89600,51,9
13,Bluefield State College,West-Virginia,59600,87900,58,1
14,Glenville State University,West-Virginia,50500,87500,60,3
15,West Virginia State University,West-Virginia,48700,86600,50,8
15,Davis & Elkins College,West-Virginia,45500,86600,49,7
17,West Virginia University at Parkersburg,West-Virginia,44700,71000,56,2
1,Milwaukee School of Engineering,Wisconsin,81700,135100,46,67
2,Marquette University,Wisconsin,71400,128000,52,25
3,Lawrence University,Wisconsin,60300,126900,51,22
4,University of Wisconsin-Madison,Wisconsin,72300,125900,47,30
5,University of Wisconsin-Platteville,Wisconsin,70900,117000,49,37
6,Ripon College,Wisconsin,57000,109100,64,18
7,University of Wisconsin-Eau Claire,Wisconsin,63500,108900,49,12
8,Bellin College,Wisconsin,70900,107200,NA,0
9,Saint Norbert College,Wisconsin,60200,107000,43,18
10,University of Wisconsin-Milwaukee,Wisconsin,63000,106100,49,16
11,University of Wisconsin-La Crosse,Wisconsin,61400,105600,52,18
12,University of Wisconsin-Whitewater,Wisconsin,59700,105200,42,8
13,Beloit College,Wisconsin,58500,105000,54,26
14,Carthage College,Wisconsin,59500,104200,44,17
15,Carroll University,Wisconsin,56700,103700,51,11
16,Marian University (Wisconsin),Wisconsin,54600,103300,54,4
17,University of Wisconsin-Stout,Wisconsin,62900,102400,47,19
18,Edgewood College,Wisconsin,59200,100700,55,10
19,University of Wisconsin-Oshkosh,Wisconsin,59900,99800,48,7
20,University of Wisconsin-Parkside,Wisconsin,58400,98500,45,14
21,University of Wisconsin-Stevens Point,Wisconsin,55500,97300,56,10
22,University of Wisconsin-Superior,Wisconsin,53500,96000,49,7
23,Concordia University-Wisconsin,Wisconsin,58200,95400,57,5
24,University of Wisconsin-River Falls,Wisconsin,58600,94900,54,13
25,Wisconsin Lutheran College,Wisconsin,61800,93700,55,12
1,University of Wyoming,Wyoming,63700,109800,62,23
